[Sun Jun 07 11:00:10.388163 2020] [:error] [pid 4076:tid 948] [client ::1:49978] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:00:24.113710 2020] [:error] [pid 4076:tid 952] [client ::1:49979] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:00:25.163009 2020] [:error] [pid 4076:tid 952] [client ::1:49979] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:00:26.147060 2020] [:error] [pid 4076:tid 952] [client ::1:49979] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:00:27.871111 2020] [:error] [pid 4076:tid 952] [client ::1:49979] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:00:40.096270 2020] [:error] [pid 4076:tid 948] [client ::1:49981] PHP Fatal error:  Class 'mysql' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:04:33.446905 2020] [:error] [pid 4076:tid 952] [client ::1:50050] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:04:34.954981 2020] [:error] [pid 4076:tid 952] [client ::1:50050] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:09:48.572484 2020] [:error] [pid 4140:tid 912] [client ::1:50466] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:18:43.424569 2020] [:error] [pid 4140:tid 912] [client ::1:50988] PHP Parse error:  syntax error, unexpected '}' in E:\\Server\\htdocs\\www\\index.php on line 16
[Sun Jun 07 11:19:17.524348 2020] [:error] [pid 4140:tid 904] [client ::1:51020] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:19:19.429758 2020] [:error] [pid 4140:tid 904] [client ::1:51020] PHP Fatal error:  Class 'mysqli' not found in E:\\Server\\htdocs\\www\\index.php on line 2
[Sun Jun 07 11:19:42.005108 2020] [:error] [pid 4140:tid 912] [client ::1:51024] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in E:\\Server\\htdocs\\www\\index.php on line 12
[Sun Jun 07 11:41:34.309581 2020] [:error] [pid 1976:tid 912] [client ::1:49815] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:01:01.224696 2020] [:error] [pid 4840:tid 984] [client ::1:49968] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:01:49.067843 2020] [:error] [pid 4840:tid 984] [client ::1:49971] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:01:50.216903 2020] [:error] [pid 4840:tid 984] [client ::1:49971] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:01:52.246403 2020] [:error] [pid 4840:tid 984] [client ::1:49971] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:02:14.915861 2020] [:error] [pid 4840:tid 984] [client ::1:49973] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 20
[Sun Jun 07 12:52:48.668690 2020] [:error] [pid 4840:tid 956] [client ::1:50698] PHP Parse error:  syntax error, unexpected '<' in E:\\Server\\htdocs\\www\\index.php on line 12
[Sun Jun 07 12:58:15.697905 2020] [:error] [pid 4840:tid 952] [client ::1:50780] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 6
[Sun Jun 07 13:03:25.334088 2020] [:error] [pid 4840:tid 952] [client ::1:50849] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in E:\\Server\\htdocs\\www\\index.php on line 6
